ID,link_id,rfc,longitd,latitud,snowy,dailyGg,bsnTypN,basnTyp
05059600,14251875,NCRFC,-97.7988357543945,47.3605651855469,1,1,regular,3
05120500,14172539,NCRFC,-100.526756286621,48.1697425842285,1,1,regular,3
05061500,6689073,NCRFC,-96.6289596557617,46.7878303527832,1,0,snowy,0
05087500,7069743,NCRFC,-96.8267593383789,48.3424339294434,1,0,regular,3
05057200,14269214,NCRFC,-98.1292419433594,47.2320327758789,1,0,snowy,0
05056200,14299851,NCRFC,-98.6481094360352,48.3455276489258,1,1,regular,3
05056100,14293805,NCRFC,-99.1040267944336,48.454231262207,1,1,regular,3
05061000,6689413,NCRFC,-96.3176498413086,46.8588638305664,1,0,snowy,0
05123400,14156742,NCRFC,-100.442092895508,48.6118659973145,1,0,regular,3
05062500,7027381,NCRFC,-96.2406234741211,47.2590141296387,1,0,snowy,0
05132000,22237092,NCRFC,-93.8039169311523,48.1965637207031,1,0,snowy,0
05129115,7140308,NCRFC,-92.5656967163086,48.2645111083984,1,0,snowy,0
05056000,14267516,NCRFC,-98.7122650146484,47.8028678894043,1,0,regular,3
05131500,7171122,NCRFC,-93.5435943603516,48.3969955444336,1,0,snowy,0
05078500,7053799,NCRFC,-96.2773590087891,47.886173248291,1,0,regular,3
05057000,14269180,NCRFC,-98.0225067138672,47.4356422424316,1,0,regular,3
05127500,7098203,NCRFC,-91.6624221801758,48.0785179138184,1,0,snowy,0
10172870,10683178,CBRFC,-113.897727966309,39.7491912841797,1,0,snowy,0
10336645,8941733,CNRFC,-120.144241333008,39.0439414978027,1,0,snowy,0
10310500,8920579,CNRFC,-119.79866027832,39.1138763427734,1,0,snowy,0
10166430,10327201,CBRFC,-112.101356506348,40.4062004089355,1,0,snowy,0
10243260,10407562,CBRFC,-114.204071044922,39.0097122192383,1,0,snowy,0
10336660,8941693,CNRFC,-120.173301696777,39.108757019043,1,0,snowy,0
10316500,10786444,CNRFC,-115.462371826172,40.6723861694336,1,0,snowy,0
10308794,8922665,CNRFC,-119.642990112305,38.7399978637695,1,0,snowy,0
10249300,10696957,CNRFC,-117.253494262695,38.8741035461426,1,0,regular,3
10347310,8931976,CNRFC,-119.995994567871,39.5246124267578,1,0,snowy,0
10023000,7880800,CBRFC,-111.238357543945,41.6183280944824,1,0,snowy,0
10172700,10396937,CBRFC,-112.381805419922,39.9829788208008,1,0,regular,3
10205030,3506561,CBRFC,-111.536170959473,38.8924827575684,1,0,snowy,0
103366092,8943677,CNRFC,-120.029754638672,38.853816986084,1,0,snowy,0
10172860,10406554,CBRFC,-114.025726318359,39.4599952697754,1,0,regular,3
10173450,10818086,CBRFC,-112.527191162109,37.6151428222656,1,0,snowy,0
10243700,11338977,CNRFC,-114.532386779785,39.2163162231445,1,0,snowy,0
MTK,8933858,CNRFC,-120.117485046387,39.3363990783691,1,0,regular,3
10242000,14597053,CBRFC,-113.040641784668,37.6710205078125,1,0,snowy,0
10234500,1215135,CBRFC,-112.567100524902,38.2803955078125,1,0,snowy,0
10146400,10331001,CBRFC,-111.867370605469,39.8038444519043,1,0,snowy,0
10011500,7887898,CBRFC,-110.858825683594,40.9721221923828,1,0,snowy,0
10310000,8924041,CNRFC,-119.836288452148,38.7691040039062,1,0,snowy,0
10149400,10349220,CBRFC,-111.37767791748,40.0765266418457,1,0,snowy,0
10128500,10093110,CBRFC,-111.245170593262,40.7371025085449,1,0,snowy,0
10352500,11849049,CNRFC,-117.831657409668,41.9667091369629,1,0,snowy,0
10329500,11137442,CNRFC,-117.416679382324,41.5354614257812,1,0,snowy,0
10109000,664424,CBRFC,-111.769905090332,41.7415809631348,1,0,snowy,0
10308200,8922715,CNRFC,-119.767387390137,38.7118606567383,1,0,snowy,0
10321590,10783380,CNRFC,-116.077163696289,40.7388000488281,1,0,snowy,0
10321940,10782344,CNRFC,-116.220481872559,40.8173599243164,1,0,snowy,0
09329050,4900159,CBRFC,-111.646423339844,38.6234436035156,1,0,snowy,0
09066000,1320274,CBRFC,-106.262596130371,39.5954246520996,1,0,regular,3
09051050,1313259,CBRFC,-106.052368164062,39.6338424682617,1,0,snowy,0
09306242,3240437,CBRFC,-108.453666687012,39.9274520874023,1,0,snowy,0
09310700,3906485,CBRFC,-111.16242980957,39.7298049926758,1,0,snowy,0
09065500,1320264,CBRFC,-106.261352539062,39.6293449401855,1,0,snowy,0
09238900,1358214,CBRFC,-106.779426574707,40.4774475097656,1,0,snowy,0
09183600,3380913,CBRFC,-109.412528991699,38.4882431030273,1,0,snowy,0
09146020,9769472,CBRFC,-107.68628692627,38.0480918884277,1,0,snowy,0
09035900,1238533,CBRFC,-106.03059387207,39.7954330444336,1,0,regular,3
09312600,3906361,CBRFC,-111.035308837891,39.8725433349609,1,0,snowy,0
09352900,17034197,CBRFC,-107.540000915527,37.4817085266113,1,0,snowy,0
09059500,1238051,CBRFC,-106.589447021484,39.8006782531738,1,0,regular,3
09050100,1312885,CBRFC,-106.101516723633,39.5771179199219,1,0,snowy,0
09107000,1333022,CBRFC,-106.564636230469,38.8646583557129,1,0,snowy,0
09115500,9773517,CBRFC,-106.421478271484,38.3985328674316,1,0,snowy,0
09064600,1319752,CBRFC,-106.402351379395,39.5532073974609,1,0,snowy,0
09217900,3199586,CBRFC,-110.580261230469,40.9681854248047,1,0,snowy,0
09081600,1326465,CBRFC,-107.230575561523,39.2361106872559,1,0,snowy,0
09266500,1393763,CBRFC,-109.621238708496,40.5762557983398,1,0,snowy,0
09253000,18279713,CBRFC,-107.143577575684,40.9990577697754,1,0,snowy,0
09223000,3192546,CBRFC,-110.712989807129,42.1101989746094,1,0,regular,3
09292000,944060076,CBRFC,-110.326751708984,40.5543251037598,1,0,snowy,0
09112500,1333418,CBRFC,-106.852577209473,38.6702270507812,1,0,snowy,0
09124500,3253975,CBRFC,-107.237953186035,38.2835311889648,1,0,snowy,0
09196500,18325008,CBRFC,-109.769004821777,43.0285491943359,1,0,snowy,0
09210500,18354249,CBRFC,-110.434272766113,42.095401763916,1,0,snowy,0
09258980,18272390,CBRFC,-107.633941650391,41.0603294372559,1,0,snowy,0
09359500,17014207,CBRFC,-107.778984069824,37.572696685791,1,0,snowy,0
09188500,18345961,CBRFC,-110.127830505371,43.0102500915527,1,0,snowy,0
09470750,15934841,CBRFC,-110.261772155762,31.4759922027588,0,0,regular,3
09408000,10023748,CBRFC,-113.383033752441,37.2723274230957,1,0,regular,3
09484580,15895584,CBRFC,-110.687782287598,31.8625450134277,0,0,flashy,2
09470800,15934417,CBRFC,-110.325180053711,31.4869785308838,0,0,flashy,2
09508300,20437386,CBRFC,-111.658912658691,34.1770668029785,0,1,regular,3
09484000,15893872,CBRFC,-110.811347961426,32.3147087097168,1,0,regular,3
09485000,15895252,CBRFC,-110.637275695801,32.1304664611816,0,0,flashy,2
094985005,22444106,CBRFC,-110.992164611816,33.3995895385742,0,0,regular,3
09430600,2430436,CBRFC,-108.65064239502,33.1685905456543,1,0,regular,3
09537200,20371805,CBRFC,-109.508613586426,31.5908851623535,0,0,regular,3
09492400,20488086,CBRFC,-109.814888000488,33.8207626342773,1,0,regular,3
09404450,10025746,CBRFC,-112.602317810059,37.3341598510742,1,0,snowy,0
09386900,20572245,CBRFC,-108.547584533691,35.2846755981445,1,1,regular,3
09505200,20454544,CBRFC,-111.673233032227,34.6753730773926,1,0,snowy,0
09505350,20454522,CBRFC,-111.77872467041,34.7214584350586,1,0,snowy,0
09498502,22443884,CBRFC,-110.995933532715,33.485164642334,0,0,flashy,2
09484550,15895582,CBRFC,-110.571563720703,31.8648586273193,0,0,flashy,2
09512280,20476698,CBRFC,-111.957328796387,33.8847198486328,0,0,regular,3
09413900,4909714,CBRFC,-114.044006347656,37.468074798584,1,0,snowy,0
09399400,21746325,CBRFC,-110.784706115723,34.9229927062988,1,0,flashy,2
09504420,20453378,CBRFC,-111.761764526367,34.863899230957,1,0,snowy,0
09405500,10026504,CBRFC,-112.977813720703,37.2112236022949,1,0,snowy,0
09404222,20682381,CBRFC,-113.657852172852,35.8010940551758,0,0,flashy,2
09404208,20721204,CBRFC,-113.369369506836,35.7631950378418,0,0,flashy,2
09513780,20415812,CBRFC,-112.112365722656,33.9688301086426,0,0,regular,3
09505800,20435246,CBRFC,-111.693115234375,34.5384178161621,1,0,snowy,0
09497980,22440682,CBRFC,-110.858848571777,33.8302803039551,0,0,regular,3
09510200,20440676,CBRFC,-111.546562194824,33.6935501098633,0,0,regular,3
09404343,20667088,CBRFC,-113.651206970215,35.3928642272949,0,0,flashy,2
09424447,21396935,CBRFC,-113.443397521973,34.5435371398926,0,0,regular,3
09497800,22440644,CBRFC,-110.557312011719,33.8420448303223,0,0,flashy,2
09484600,15894416,CBRFC,-110.673065185547,32.0326957702637,0,0,flashy,2
09507980,20437048,CBRFC,-111.638793945312,34.2766380310059,0,1,regular,3
09401110,20513024,CBRFC,-110.928657531738,35.782543182373,0,0,regular,3
09499000,22431630,CBRFC,-111.303245544434,33.9802284240723,0,0,regular,3
09489500,20498017,CBRFC,-109.762229919434,33.4811592102051,1,0,flashy,2
09487000,15876941,CBRFC,-111.324012756348,32.0898895263672,0,0,flashy,2
09444200,21355827,CBRFC,-109.196418762207,33.2869148254395,0,0,regular,3
09404110,20691648,CBRFC,-112.69213104248,36.2253341674805,0,0,regular,3
09447800,21327929,CBRFC,-109.530754089355,32.9548492431641,0,0,flashy,2
09430500,2430698,CBRFC,-108.533233642578,33.0656929016113,0,0,regular,3
08302500,17866900,WGRFC,-105.90852355957,35.7401924133301,1,0,regular,3
08315480,17835114,WGRFC,-105.802017211914,35.7166290283203,1,0,regular,3
08271000,17863078,WGRFC,-105.530220031738,36.5083389282227,1,0,snowy,0
08386505,20772466,WGRFC,-105.716041564941,33.3368263244629,1,0,regular,3
08377900,20815146,WGRFC,-105.648338317871,35.7825508117676,1,0,regular,3
08267500,17863440,WGRFC,-105.540077209473,36.5519828796387,1,0,snowy,0
08380500,20815196,WGRFC,-105.322128295898,35.6503067016602,1,0,regular,3
08269000,17864360,WGRFC,-105.504386901855,36.4397468566895,1,0,snowy,0
08277470,17864778,WGRFC,-105.606842041016,36.1701774597168,1,0,regular,3
08408500,20758520,WGRFC,-104.053817749023,32.0296745300293,0,0,regular,3
08447020,3158167,WGRFC,-101.738349914551,30.4535980224609,0,0,regular,3
08401200,22455359,WGRFC,-104.42138671875,32.5886421203613,0,0,regular,3
08340500,17789879,WGRFC,-107.202323913574,35.5970687866211,0,0,flashy,2
08324000,17826714,WGRFC,-106.742889404297,35.662052154541,1,0,regular,3
08405105,22458323,WGRFC,-104.331809997559,32.2990875244141,0,0,flashy,2
08400000,22455973,WGRFC,-104.428718566895,32.6751899719238,0,0,regular,3
08068325,1508279,WGRFC,-95.5521697998047,30.1003932952881,0,0,regular,3
08068780,1508121,WGRFC,-95.7027816772461,30.0160388946533,0,0,regular,3
08189200,3159657,WGRFC,-97.1056213378906,28.3492736816406,0,0,regular,3
08057200,1260353,WGRFC,-96.7515640258789,32.8813972473145,0,0,flashy,2
08131400,5702253,WGRFC,-100.446647644043,31.3099517822266,0,0,flashy,2
08158810,5781401,WGRFC,-97.9374542236328,30.156120300293,0,0,regular,3
08158860,5781407,WGRFC,-97.8272476196289,30.1581382751465,0,0,regular,3
08050840,1275872,WGRFC,-96.8084564208984,33.525691986084,0,0,regular,3
08210400,3168874,WGRFC,-98.1218032836914,28.0518054962158,0,0,regular,3
08049700,1268648,WGRFC,-97.0817642211914,32.5890922546387,0,0,regular,3
08050800,1275870,WGRFC,-96.9446029663086,33.5506782531738,0,0,regular,3
08017300,5254557,WGRFC,-96.239875793457,32.8945465087891,0,0,regular,3
08082700,5542148,WGRFC,-99.4682540893555,33.3266220092773,0,0,regular,3
08023080,9533087,WGRFC,-93.9407424926758,31.9633045196533,0,0,regular,3
08133250,5711103,WGRFC,-101.125419616699,31.9036979675293,0,0,regular,3
08154700,5781189,WGRFC,-97.7859268188477,30.3666839599609,0,0,regular,3
08177300,1639209,WGRFC,-97.3173065185547,28.7536869049072,0,0,regular,3
08095300,5523936,WGRFC,-97.3478469848633,31.5074024200439,0,0,snowy,0
08029500,8330722,WGRFC,-93.785888671875,30.7767944335938,0,0,regular,3
08031000,8331928,WGRFC,-93.9085311889648,30.1865825653076,0,0,regular,3
08023400,9533201,WGRFC,-93.6591949462891,31.8711814880371,0,0,regular,3
08201500,10653905,WGRFC,-99.4048233032227,29.5787868499756,0,0,regular,3
08103900,5587890,WGRFC,-98.0436706542969,30.9096984863281,0,0,flashy,2
08200977,10653947,WGRFC,-99.0885162353516,29.5562591552734,0,0,regular,3
08200000,10654651,WGRFC,-99.2493209838867,29.5708618164062,0,0,flashy,2
08066300,1494036,WGRFC,-94.7601547241211,30.4724445343018,0,0,regular,3
08104900,5671579,WGRFC,-97.7575302124023,30.6232814788818,0,0,regular,3
08158700,5780099,WGRFC,-98.0109634399414,30.0809288024902,0,0,snowy,0
08155200,5781265,WGRFC,-97.9083099365234,30.3060207366943,0,0,regular,3
08066200,1487570,WGRFC,-94.9550552368164,30.7072429656982,0,0,regular,3
08181480,10836388,WGRFC,-98.5819625854492,29.3561191558838,0,0,flashy,2
08070500,1520249,WGRFC,-95.2894897460938,30.2392730712891,0,0,regular,3
08166000,3585554,WGRFC,-99.2819900512695,30.1003303527832,0,0,regular,3
08164600,9349285,WGRFC,-96.8200759887695,28.891975402832,0,0,regular,3
08212400,1585173,WGRFC,-98.1272583007812,27.2603778839111,0,0,regular,3
08164300,7846049,WGRFC,-96.8105545043945,29.4580669403076,0,0,regular,3
08198000,10645747,WGRFC,-99.4958801269531,29.493185043335,0,0,regular,3
08075000,1440385,WGRFC,-95.3708190917969,29.7128658294678,0,0,regular,3
0810464660,5670825,WGRFC,-97.8462829589844,30.6980152130127,0,0,regular,3
08041700,1143252,WGRFC,-94.3326187133789,30.1118202209473,0,0,regular,3
08150800,5770545,WGRFC,-99.0958557128906,30.6447734832764,0,0,regular,3
08065200,1453353,WGRFC,-95.8817825317383,31.5557994842529,0,0,regular,3
08099300,2567906,WGRFC,-98.6052703857422,32.1115074157715,0,0,regular,3
08152900,5785479,WGRFC,-98.8647232055664,30.2189636230469,0,0,regular,3
08202700,10655687,WGRFC,-99.2914352416992,29.3677520751953,0,0,regular,3
08175000,1623207,WGRFC,-97.4492034912109,29.2149314880371,0,0,regular,3
08047500,1268904,WGRFC,-97.3762664794922,32.7205543518066,0,0,regular,3
08130700,5702879,WGRFC,-100.600158691406,31.3319396972656,0,0,regular,3
08041500,1166409,WGRFC,-94.2618179321289,30.3889560699463,0,0,regular,3
08101000,2580511,WGRFC,-97.8808822631836,31.2851314544678,0,0,flashy,2
08086212,5525607,WGRFC,-99.124137878418,32.7370491027832,0,0,regular,3
