#
#
# US Geological Survey
# retrieved: 2024-08-07 14:11:58 EDT
# URL: https://nwis.waterdata.usgs.gov/nwis/uv
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  site_tp_cd      -- Site type
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  alt_va          -- Altitude of Gage/land surface
#  alt_acy_va      -- Altitude accuracy
#  alt_datum_cd    -- Altitude datum
#  huc_cd          -- Hydrologic unit code
#  drain_area_va   -- Drainage area
#
#
# query started 2024-08-07 14:11:58 EDT
#
# there are 195 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm	site_tp_cd	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	huc_cd	drain_area_va
5s	15s	50s	7s	16n	16n	1s	10s	8s	3s	10s	16s	8s
USGS	16010000	Kawaikoi Stream nr Waimea, Kauai, HI	ST	22.13280556	-159.61994440	S	NAD83	 3420			20070000	3.82
USGS	16016000	Waimea River US of Kekaha-Waiahulu Int., Kauai, HI	ST	22.07511110	-159.64830560	S	NAD83	780			20070000	20.3
USGS	16019000	Waialae Str at alt 3,820 ft nr Waimea, Kauai, HI	ST	22.08583333	-159.56908330	S	NAD83	 3820			20070000	2.09
USGS	16031000	Waimea River near Waimea, Kauai, HI	ST	21.98038889	-159.66008330	S	NAD83	 19.7			20070000	57.63
USGS	16036000	Makaweli River nr Waimea, Kauai, HI	ST	21.97138889	-159.64613890	5	NAD83	 18.20			20070000	26.16
USGS	16049000	Hanapepe Riv blw Manuahi Str nr Eleele, Kauai, HI	ST	21.95491667	-159.55077780	5	NAD83	 222			20070000	18.46
USGS	16052350	Right Branch Lawai Stream nr Umauma Rd, Kauai, HI	ST	21.93931667	-159.50480560	S	NAD83	670			20070000	
USGS	16052400	RB Lawai Stream 300ft US of fork, Kauai, HI	ST	21.93719444	-159.50775000	1	NAD83	 600			20070000	2.17
USGS	16055500	Nawiliwili Str at Heleko Road at Lihue, Kauai, HI	ST	21.97388889	-159.37194440	5	NAD83	 140			20070000	3.16
USGS	16057900	Waiahi Str US Upper Powerhouse, Kauai, HI	ST	22.02269444	-159.46505560	1	NAD83	 815			20070000	4.09
USGS	16060000	SF Wailua River nr Lihue, Kauai, HI	ST	22.03669444	-159.38016670	S	NAD83	 240			20070000	23.74
USGS	16060950	NF Wailua Riv abv N Wailua Ditch Int, Kauai, HI	ST	22.06364167	-159.47059720	S	NAD83	1150			20070000	1.64
USGS	16061200	N. Wailua Ditch blw Waikoko Str nr Lihue, Kauai, H	ST-DCH	22.05630833	-159.46385560	S	NAD83	 1070			20070000	
USGS	16062000	Stable Storm Ditch nr Lihue, Kauai, HI	ST-DCH	22.06602778	-159.44329720	S	NAD83	 710			20070000	
USGS	16068000	EB of NF Wailua River nr Lihue, Kauai, HI	ST	22.06877778	-159.41516670	S	NAD83	 500			20070000	6.24
USGS	16069000	Wailua Ditch nr Kapaa, Kauai, HI	ST-DCH	22.07296944	-159.39829720	S	NAD83	 462.30			20070000	
USGS	16071000	NF Wailua River nr Kapaa, Kauai, HI	ST	22.04916667	-159.37000000	S	NAD83	 33			20070000	16.70
USGS	16071500	Left Branch Opaekaa Str nr Kapaa, Kauai, HI	ST	22.07561110	-159.39588890	S	NAD83	 458.40			20070000	0.75
USGS	16077000	MAKALEHA DITCH NR KEALIA, KAUAI, HI	ST-DCH	22.11518889	-159.36496100	S	NAD83	 518.00			20070000	
USGS	16079000	Kapahi Ditch nr Kealia, Kauai, HI	ST-DCH	22.09935833	-159.37163060	S	NAD83	 377.10			20070000	
USGS	16088000	Anahola Ditch abv Kaneha Res nr Kealia, Kauai, HI	ST-DCH	22.13296667	-159.37162780	S	NAD83	 821.80			20070000	
USGS	16097500	Halaulani Str at alt 400 ft nr Kilauea, Kauai, HI	ST	22.17863889	-159.41861100	5	NAD83	 391.80			20070000	1.20
USGS	16103000	Hanalei River nr Hanalei, Kauai, HI	ST	22.17958333	-159.46638890	S	NAD83	 60			20070000	18.51
USGS	16104200	Hanalei Riv at Hwy 56 Bridge nr Hanalei, Kauai, HI	ST	22.21072222	-159.47594440	S	NAD83	 10			20070000	21.0
USGS	16108000	Wainiha River nr Hanalei, Kauai, HI	ST	22.13588889	-159.55786100	5	NAD83	 960			20070000	10.44
USGS	16114000	Limahuli Str nr Wainiha, Kauai, HI	ST	22.21769444	-159.57718330	S	NAD83	 200			20070000	1.37
USGS	16114800	Hanakapiai Stream abv Hanakapiai Falls, Kauai, HI	ST	22.17583333	-159.59847220	S	NAD83	 2974			20070000	1.09
USGS	16200000	NF Kaukonahua Str abv RB, nr Wahiawa, Oahu, HI	ST	21.51627778	-157.94530560	5	NAD83	 1150			20060000	1.38
USGS	16208000	SF Kaukonahua Str at E pump, nr Wahiawa, Oahu, HI	ST	21.48880556	-157.99605560	S	NAD83	 860.35			20060000	4.10
USGS	16210100	Wahiawa Ditch at Wahiawa, Oahu, HI	ST-DCH	21.50055556	-158.05102780	1	NAD83	 786			20060000	
USGS	16210200	Kaukonahua Stream blw Wahiawa Reservoir, Oahu, HI	ST	21.50025000	-158.05108330	1	NAD83	 760			20060000	16.7
USGS	16210500	Kaukonahua Str at Waialua, Oahu, HI	ST	21.56530556	-158.12036100	S	NAD83	 15			20060000	39.26
USGS	16211600	Makaha Str nr Makaha, Oahu, HI	ST	21.50158333	-158.18016670	5	NAD83	 938.64			20060000	2.117
USGS	16211800	Kaupuni Str at alt 374 ft nr Waianae, Oahu, HI	ST	21.46906944	-158.15446940	S	NAD83	374			20060000	3.61
USGS	16212480	Honouliuli Stream Tributary near Waipahu, Oahu, HI	ST	21.40183333	-158.06691670	1	NAD83	 629			20060000	1.86
USGS	16212490	Honouliuli Str at H-1 Freeway nr Waipahu, Oahu, HI	ST	21.37813889	-158.04477780	1	NAD83	 145			20060000	10.6
USGS	16212601	Waikele Str at Wheeler Field, Oahu, HI	ST	21.47230556	-158.04447220	5	NAD83	 710			20060000	6.72
USGS	16212800	Kipapa Str nr Wahiawa, Oahu, HI	ST	21.46711110	-157.95877780	S	NAD83	 690			20060000	4.25
USGS	16213000	Waikele Str at Waipahu, Oahu, HI	ST	21.38347222	-158.01091670	5	NAD83	 1.37			20060000	45.14
USGS	16216000	Waiawa Str nr Pearl City, Oahu, HI	ST	21.39569444	-157.97830560	5	NAD83	 1.81			20060000	25.19
USGS	16225800	N. Halawa Str nr Kaneohe, Oahu, HI	ST	21.40611110	-157.86555560	S	NAD83	 646.52			20060000	1.78
USGS	16225900	N. Halawa Str at Bridge 8 nr Halawa, Oahu, HI	ST	21.39555556	-157.88569440	S	NAD83	 370			20060000	3.18
USGS	16226000	N. Halawa Str nr Aiea, Oahu, HI	ST	21.39295833	-157.89086390	S	NAD83	 320			20060000	3.43
USGS	16226200	N. Halawa Str nr Honolulu, Oahu, HI	ST	21.38200000	-157.90333330	S	NAD83	 160			20060000	4.02
USGS	16226400	N. Halawa Str nr Quar. Stn. at Halawa, Oahu, HI	ST	21.37188889	-157.91272220	S	NAD83	 60			20060000	4.60
USGS	16226700	South Halawa Stream nr H-3 Freeway, Oahu, HI	ST	21.37067778	-157.91002220	H	NAD83	85			20060000	
USGS	16227500	Moanalua Stream nr Kaneohe, Oahu, HI	ST	21.38805556	-157.84861100	S	NAD83	 690			20060000	0.92
USGS	16229000	Kalihi Str nr Honolulu, Oahu, HI	ST	21.36336110	-157.84444440	S	NAD83	 464.4			20060000	2.56
