#
#
# US Geological Survey
# retrieved: 2024-08-07 14:14:59 EDT
# URL: https://nwis.waterdata.usgs.gov/nwis/uv
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  site_tp_cd      -- Site type
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  alt_va          -- Altitude of Gage/land surface
#  alt_acy_va      -- Altitude accuracy
#  alt_datum_cd    -- Altitude datum
#  huc_cd          -- Hydrologic unit code
#  drain_area_va   -- Drainage area
#
#
# query started 2024-08-07 14:14:59 EDT
#
# there are 180 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm	site_tp_cd	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	huc_cd	drain_area_va
5s	15s	50s	7s	16n	16n	1s	10s	8s	3s	10s	16s	8s
USGS	180455066301701	CANAL DE JUANA DIAZ AT LAGO GUAYABAL, PR	ST-CA	18.08205833	-66.50463889	5	NAD83				21010004	
USGS	182743067004200	CANAL PRINCIPAL DIVERSION BLW FOREBAY, ISABELA, PR	ST-CA	18.46003598	-67.01130717	S	NAD83	 441.03			21010002	
USGS	182830067035900	CANAL PRINCIPAL DIVERSION ABV. LAGO GUERRERO, PR	ST-CA	18.47299930	-67.06601360	E	NAD83	 356			21010002	
USGS	50010500	RIO GUAJATACA AT LARES, PR	ST	18.29721058	-66.87348497	5	NAD83	 942.95			21010002	3.16
USGS	50010600	RIO GUAJATACA ABV LAGO DE GUAJATACA, PR	ST	18.33050613	-66.91601060	S	NAD83	 565			21010003	
USGS	50011000	CANAL DE DERIVACION AT LAGO DE GUAJATACA, PR	ST-CA	18.39751986	-66.92712760	S	NAD83	 590			21010002	
USGS	50011080	CANAL MOCA BLW FOREBAY, PR	ST-CA	18.45661113	-67.01156829	S	NAD83	 540			21010002	
USGS	50011085	CANAL DE MOCA ABV LAGO REGULADOR (E13) ISABELA, PR	ST-CA	18.45534449	-67.02750749	S	NAD83	 538			21010002	
USGS	50011095	CANAL MOCA BLW HWY 112, PR	ST-CA	18.45441396	-67.03456870	S	NAD83	 529.9			21010002	
USGS	50011128	CANAL MOCA ABV AGUADILLA PLANT, AGUADILLA, PR	ST-CA	18.44721983	-67.13694769	5	NAD83	 525			21010002	
USGS	50011130	CANAL MOCA (M 216) ABV AGUADILLA PLANT, PR	ST	18.44800036	-67.14018100	5	NAD83	 511.12			21010002	
USGS	50011180	CANAL DE AGUADILLA ABV LAGO RAMEY, AGUADILLA PR	ST-CA	18.47263800	-67.11531139	S	NAD83	 279			21010002	
USGS	50011200	RIO GUAJATACA BLW LAGO GUAJATACA, PR	ST	18.39828094	-66.92739990	S	NAD83	 535			21010002	
USGS	50011400	RIO GUAJATACA ABV MOUTH NR QUEBRADILLAS, PR	ST	18.47327730	-66.96240108	S	NAD83				21010002	
USGS	50014600	RIO CAMUY AT TRES PUEBLOS SINKHOLE, LARES PR	ST	18.34300589	-66.82434269	S	NAD83	 722			21010002	
USGS	50014800	RIO CAMUY NR BAYANEY, PR	ST	18.39443982	-66.81760660	S	NAD83	 358.0			21010002	
USGS	50015700	RIO CAMUY NR HATILLO, PR	ST	18.46022317	-66.83184310	S	NAD83	 13			21010002	
USGS	50020500	RIO GRANDE DE ARECIBO NR ADJUNTAS, PR	ST	18.17968000	-66.73628560	S	NAD83	 1449			21010002	18.6
USGS	50021030	RIO PELLEJAS ABV CENTRAL PELLEJAS, PR	ST	18.20273457	-66.70322960	S	NAD83	 1148			21010002	6.87
USGS	50021700	RIO GRANDE DE ARECIBO ABV UTUADO, PR	ST	18.24220775	-66.72191040	S	NAD83	 525			21010002	36
USGS	50022810	RIO VIVI BLW HACIENDA EL PROGRESO, PR	ST	18.18717972	-66.67184028	S	NAD83	 1710			21010002	2.99
USGS	50024400	RIO VIVI NR UTUADO, PR	ST	18.25356565	-66.67878490	S	NAD83	 574			21010002	11.7
USGS	50024950	RIO GRANDE DE ARECIBO BLW UTUADO, PR	ST	18.30009950	-66.70371600	S	NAD83	 295.3			21010002	71.7
USGS	50025155	RIO SALIENTE AT COABEY NR JAYUYA, PR	ST	18.21082880	-66.56280320	S	NAD83	 1700			21010002	8.86
USGS	50025850	RIO JAUCA AT PASO PALMA, PR	ST	18.21190086	-66.64517337	S	NAD83	 1177			21010002	6.89
USGS	50026025	RIO CAONILLAS AT PASO PALMA, PR	ST	18.22942790	-66.63670660	S	NAD83	 964.61			21010002	37.98
USGS	50026200	RIO CAONILLAS BLW LAGO CAONILLAS TUNNEL, PR	ST	18.29717468	-66.64295130	S	NAD83	 295			21010002	50.8
USGS	50026400	RIO YUNES AT HWY 140 NR FLORIDA, PR	ST	18.32217349	-66.58656170	S	NAD83	 492.2			21010002	13.99
USGS	50027000	RIO LIMON ABV LAGO DOS BOCAS, PR	ST	18.32410113	-66.62064550	S	NAD83	 328.1			21010002	31.5
USGS	50027250	RIO GDE. DE ARECIBO BLW LAGO DOS BOCAS NR FLORIDA	ST	18.34522789	-66.66684060	S	NAD83	 131.23			21010002	169.0
USGS	50027600	RIO GRANDE DE ARECIBO NR SAN PEDRO, PR	ST	18.39682290	-66.69117730	S	NAD83	 49.2			21010002	173.7
USGS	50027750	RIO GRANDE DE ARECIBO ABV ARECIBO, PR	ST	18.42078038	-66.69906360	S	NAD83	 30			21010002	175
USGS	50027920	RIO TANAMA ABOVE QDA. PALMA, UTUADO, PR	ST	18.26128727	-66.78075850	5	NAD83	 1410			21010002	10.9
USGS	50028000	RIO TANAMA NR UTUADO, PR	ST	18.29873289	-66.78263360	S	NAD83	 948			21010002	18.0
USGS	50028400	RIO TANAMA AT CHARCO HONDO, PR	ST	18.41210020	-66.71432770	5	NAD83	 47.57			21010002	22.2
USGS	50029000	RIO GRANDE DE ARECIBO AT CENTRAL CAMBALACHE, PR	ST	18.45353470	-66.70207210	S	NAD83	 9.84			21010002	200
USGS	50030460	RIO OROCOVIS AT OROCOVIS, PR	ST	18.22162290	-66.39239257	S	NAD83	 1673.3			21010002	4.59
USGS	50031000	RIO GRANDE DE MANATI AT HWY 155 NR MOROVIS, PR	ST	18.29745293	-66.40961487	S	NAD83	 459.3			21010002	53.6
USGS	50031200	RIO GRANDE DE MANATI NR MOROVIS, PR	ST	18.29372253	-66.41335100	S	NAD83	 460.00			21010002	55.2
USGS	50034000	RIO BAUTA NR OROCOVIS, PR	ST	18.23396665	-66.45444347	S	NAD83	 820.3			21010002	16.7
USGS	50035000	RIO GRANDE DE MANATI AT CIALES, PR	ST	18.32243776	-66.45956830	S	NAD83	 140			21010002	134
USGS	50037000	RIO GRANDE DE MANATI NR MANATI, PR	ST	18.39744848	-66.49656039	S	NAD83				21010002	158
