# Another supplemental table to fill in agency/station name where we didn't have it.  These gages should already exist -- We also list the TX DOT gages to make them calibratable
gage_id|nws_id|agency|station_name|rfc
10172860| |USGS| |
MTK| |CADWR| |
09404343|TWVA3|USGS| |
09404110|SUPA3|USGS| |
05316992|COBM5|USGS|SLEEPY EYE CREEK AT CO. RD. 8 NEAR LEAVENWORTH MN|NCRFC
05316970|LVNM5| USGS|COTTONWOOD RIVER AT LEAVENWORTH MN|NCRFC
NFW| |CADWR| |
MPD| |CADWR| |
LCB| |CADWR| |
SFH| |CADWR| |
STO| |CADWR| |
CHC| |CADWR| |
SMW| |CADWR| |
MCD| |CADWR| |
MCK| |CADWR| |
LCV| |CADWR| |
CMF| |CADWR| |
RBW| |CADWR| |
PDR| |CADWR| |
DCM| |CADWR| |
CNF| |CADWR| |
TRR| |CADWR| |
MSS| |CADWR| |
CLV| |CADWR| |
ICR| |CADWR| |
JBR| |CADWR| |
EVA| |CADWR| |
MFP| |CADWR| |
CDR| |CADWR| |
RCS| |CADWR| |
02DC012| |ENVCA| |
02CF011| |ENVCA| |
02AD010| |ENVCA| |
02EA018| |ENVCA| |
02EB014| |ENVCA| |
02BF002| |ENVCA| |
02BC006| |ENVCA| |
02BB003| |ENVCA| |
02FE008| |ENVCA| |
02AB021| |ENVCA| |
02BA003| |ENVCA| |
02ED003| |ENVCA| |
02AC001| |ENVCA| |
02FA004| |ENVCA| |
02FF007| |ENVCA| |
02FB007| |ENVCA| |
02FD001| |ENVCA| |
02GB007| |ENVCA| |
02GG003| |ENVCA| |
02GC002| |ENVCA| |
02HL005| |ENVCA| |
02HM010| |ENVCA| |
02HC025| |ENVCA| |
02HB029| |ENVCA| |
02HD012| |ENVCA| |
02HA006| |ENVCA| |
50039995|LCSP4|USGS| |
15493000|UCHA2|USGS| |
15056210|TYAA2|USGS| |
02GH002| |ENVCA| |
08041940
08042539
08064990
08065080
08065340
08065420
08065820
08065925
08066087
08066138
08066380
08067280
08067505
08068025
08070550
08077888
08078935
08098295
08108705
08108710
08109310
08110520
08111006
08111051
08111056
08111080
08111085
08111090
08111110
08117375
08117403
08117857
08162580
08164410
08169778
08174545
08189520
08189590
08189718

