#
#
# US Geological Survey
# retrieved: 2024-08-07 14:13:43 EDT
# URL: https://nwis.waterdata.usgs.gov/nwis/uv
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  site_tp_cd      -- Site type
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  alt_va          -- Altitude of Gage/land surface
#  alt_acy_va      -- Altitude accuracy
#  alt_datum_cd    -- Altitude datum
#  huc_cd          -- Hydrologic unit code
#  drain_area_va   -- Drainage area
#
#
# query started 2024-08-07 14:13:43 EDT
#
# there are 128 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm	site_tp_cd	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	huc_cd	drain_area_va
5s	15s	50s	7s	16n	16n	1s	10s	8s	3s	10s	16s	8s
USGS	15129600	OPHIR C NR YAKUTAT AK	ST	59.52358729	-139.74527290	U	NAD83				19010405	4.5
USGS	15199500	SINONA C NR CHISTOCHINA AK	ST	62.59069670	-144.64883980	R	NAD83	 1950			19020101	166.93
USGS	15200280	GULKANA R AT SOURDOUGH AK	ST	62.52039180	-145.53301540	T	NAD83	 1852.1			19020102	1760
USGS	15202000	TAZLINA R NR GLENNALLEN AK	ST	62.05508477	-145.42826070	U	NAD83	 1099.13			19020102	2660
USGS	15209700	WF KENNICOTT R AT MCCARTHY AK	ST	61.43371800	-142.94263070	S	NAD83	 0			19020103	352
USGS	15209750	BONANZA C NR MC CARTHY AK	ST	61.49372940	-142.88374390	S	NAD83	 2450			19020103	1.40
USGS	15209770	NATIONAL C NR MCCARTHY AK	ST	61.48468889	-142.88661670	H	NAD83	2010.8			19020103	
USGS	15214000	COPPER R AT MILLION DOLLAR BRIDGE NR CORDOVA AK	ST	60.67114320	-144.74671350	T	NAD83	 150.			19020104	24030
USGS	15214190	COPPER R DI AT BRIDGE 1187 NR CORDOVA AK	ST	60.44446980	-145.08087630	S	NAD83	 25			19020104	
USGS	15215900	GLACIER R TRIB NR CORDOVA AK	ST	60.53282768	-145.38068640	F	NAD83	173.5			19020104	1.90
USGS	15215920	SHERIDAN R NR CORDOVA AK	ST	60.47810397	-145.40429460	S	NAD83	5.8			19020104	
USGS	15215990	NICOLET C NR CORDOVA AK	ST	60.51862530	-145.79171730	F	NAD83	 30			19020201	.7
USGS	15215992	HENEY C AT CANYON MOUTH NR CORDOVA AK	ST	60.52335006	-145.76338080	F	NAD83				19020201	1.53
USGS	15216000	POWER C NR CORDOVA AK	ST	60.58667537	-145.62002200	U	NAD83	 33.5			19020104	20.6
USGS	15216003	MIDDLE ARM EYAK LK TR NR CORDOVA AK	ST	60.55751010	-145.63086550	F	NAD83				19020104	2.90
USGS	15216008	MURCHISON C NR CORDOVA AK	ST	60.53640380	-145.71615200	U	NAD83				19020104	0.37
USGS	15219000	WF OLSEN BAY C NR CORDOVA AK	ST	60.76087560	-146.17433050	U	NAD83	0			19020201	4.9
USGS	15225996	SOLOMON GULCH TAILRACE NR VALDEZ AK	ST	61.08308748	-146.30479380	U	NAD83				19020201	19.2
USGS	15225997	SOLOMON GULCH AT TOP OF FALLS NR VALDEZ AK	ST	61.07865799	-146.30518790	U	NAD83	398.6			19020201	19.1
