"gage_id"	"nws_id"	"agency"	"station_name"	"domain"	"nwm_v3_calibration"	"headwater_calibration"
"01015800"	"MASM1"	"USGS"	"Aroostook River near Masardis, Maine"	"CONUS"	"true"	"true"
"01021480"	"WSLM1"	"USGS"	"Old Stream near Wesley, Maine"	"CONUS"	"true"	"true"
"01027200"	"SBMM1"	"USGS"	"North Branch Penobscot River nr Pittston Farm, ME"	"CONUS"	"true"	"true"
"01011000"	"ALLM1"	"USGS"	"Allagash River near Allagash, Maine"	"CONUS"	"true"	"true"
"01031500"	"DOVM1"	"USGS"	"Piscataquis River near Dover-Foxcroft, Maine"	"CONUS"	"true"	"true"
"01037380"	"LINM1"	"USGS"	"Ducktrap River near Lincolnville, Maine"	"CONUS"	"true"	"true"
"01038000"	"NWFM1"	"USGS"	"Sheepscot River at North Whitefield, Maine"	"CONUS"	"true"	"true"
"01044550"	"SPEM1"	"USGS"	"Spencer Stream near Grand Falls, Maine"	"CONUS"	"true"	"true"
"01046000"	"AUSM1"	"USGS"	"Austin Stream at Bingham, Maine"	"CONUS"	"true"	"true"
"01047000"	"NANM1"	"USGS"	"Carrabassett River near North Anson, Maine"	"CONUS"	"true"	"true"
"01047200"	"MDIM1"	"USGS"	"Sandy River near Madrid, Maine"	"CONUS"	"true"	"true"
"01048000"	"MERM1"	"USGS"	"Sandy River near Mercer, Maine"	"CONUS"	"true"	"true"
"01048220"	"ATHM1"	"USGS"	"East Branch Wesserunsett Stream near Athens, Maine"	"CONUS"	"true"	"true"
"SFH"		"CADWR"	""	"CONUS"	"true"	"true"
"01029200"	"SBSM1"	"USGS"	"Seboeis River near Shin Pond, Maine"	"CONUS"	"true"	"true"
"01029500"	"GRNM1"	"USGS"	"East Branch Penobscot River at Grindstone, Maine"	"CONUS"	"true"	"true"
"01031300"	"BLAM1"	"USGS"	"Piscataquis River at Blanchard, Maine"	"CONUS"	"true"	"true"
"01055000"	"ROXM1"	"USGS"	"Swift River near Roxbury, Maine"	"CONUS"	"true"	"true"
"01057000"	"SPSM1"	"USGS"	"Little Androscoggin River near South Paris, Maine"	"CONUS"	"true"	"true"
"01064500"	"CNWN3"	"USGS"	"Saco River near Conway, NH"	"CONUS"	"true"	"true"
"01064801"	"BCPN3"	"USGS"	"BEARCAMP RIVER AT SOUTH TAMWORTH, NH"	"CONUS"	"true"	"true"
"01067950"	"KNKM1"	"USGS"	"Kennebunk River near Kennebunk, Maine"	"CONUS"	"true"	"true"
"01069700"	"KBKM1"	"USGS"	"Branch Brook near Kennebunk, Maine"	"CONUS"	"true"	"true"
"01073000"	"OYSN3"	"USGS"	"OYSTER RIVER NEAR DURHAM, NH"	"CONUS"	"true"	"true"
"01073500"	"LAMN3"	"USGS"	"LAMPREY RIVER NEAR NEWMARKET, NH"	"CONUS"	"true"	"true"
"01054200"	"GILM1"	"USGS"	"Wild River at Gilead, Maine"	"CONUS"	"true"	"true"
"01054300"	"SADM1"	"USGS"	"Ellis River at South Andover, Maine"	"CONUS"	"true"	"true"
"01078000"	"BRSN3"	"USGS"	"SMITH RIVER NEAR BRISTOL, NH"	"CONUS"	"true"	"true"
"01082000"	"PTRN3"	"USGS"	"CONTOOCOOK RIVER AT PETERBOROUGH, NH"	"CONUS"	"true"	"true"
"01086000"	"DAVN3"	"USGS"	"WARNER RIVER AT DAVISVILLE, NH"	"CONUS"	"true"	"true"
"01089100"	"SOUN3"	"USGS"	"SOUCOOK RIVER, AT PEMBROKE ROAD, NEAR CONCORD, NH"	"CONUS"	"true"	"true"
"01093852"	"MFDN3"	"USGS"	"SOUHEGAN RIVER (SITE WLR-1) NEAR MILFORD, NH"	"CONUS"	"true"	"true"
"01096000"	"WGTM3"	"USGS"	"SQUANNACOOK RIVER NEAR WEST GROTON, MA"	"CONUS"	"true"	"true"
"010965852"	"NPEN3"	"USGS"	"BEAVER BROOK AT NORTH PELHAM, NH"	"CONUS"	"true"	"true"
"01074520"	"LINN3"	"USGS"	"EAST BRANCH PEMIGEWASSET RIVER AT LINCOLN, NH"	"CONUS"	"true"	"true"
"01075000"	"WOON3"	"USGS"	"PEMIGEWASSET RIVER AT WOODSTOCK, NH"	"CONUS"	"true"	"true"
"01077400"	"GRTN3"	"USGS"	"COCKERMOUTH RIVER BELOW HARDY BROOK, AT GROTON, NH"	"CONUS"	"true"	"true"
"01100600"	"WLMM3"	"USGS"	"SHAWSHEEN RIVER NEAR WILMINGTON, MA"	"CONUS"	"true"	"true"
"01101000"	"BYFM3"	"USGS"	"PARKER RIVER AT BYFIELD, MA"	"CONUS"	"true"	"true"
"STO"		"CADWR"	""	"CONUS"	"true"	"true"
"01105000"	"NRWM3"	"USGS"	"NEPONSET RIVER AT NORWOOD, MA"	"CONUS"	"true"	"true"
"01105933"	"SDMM3"	"USGS"	"PASKAMANSET RIVER NEAR SOUTH DARTMOUTH, MA"	"CONUS"	"true"	"true"
"01108000"	"BDGM3"	"USGS"	"TAUNTON RIVER NEAR BRIDGEWATER, MA"	"CONUS"	"true"	"true"
"01115630"		"USGS"	"NOOSENECK RIVER AT NOOSENECK, RI"	"CONUS"	"true"	"true"
"01116905"		"USGS"	"HUNT R 250 FT DS FRY BRK AT FRENCHTOWN, RI"	"CONUS"	"true"	"true"
"01117370"		"USGS"	"QUEEN R AT LIBERTY RD AT LIBERTY RI"	"CONUS"	"true"	"true"
"01117468"	"BEAR1"	"USGS"	"BEAVER RIVER NEAR USQUEPAUG, RI"	"CONUS"	"true"	"true"
"01117800"	"ARCR1"	"USGS"	"WOOD RIVER NEAR ARCADIA, RI"	"CONUS"	"true"	"true"
"01118000"		"USGS"	"WOOD RIVER AT HOPE VALLEY, RI"	"CONUS"	"true"	"true"
"01121000"	"WRNC3"	"USGS"	"MOUNT HOPE RIVER NEAR WARRENVILLE, CT"	"CONUS"	"true"	"true"
"01127500"	"YTCC3"	"USGS"	"YANTIC RIVER AT YANTIC, CT"	"CONUS"	"true"	"true"
"01130000"	"GRUN3"	"USGS"	"UPPER AMMONOOSUC RIVER NEAR GROVETON, NH"	"CONUS"	"true"	"true"
"01134500"	"VICV1"	"USGS"	"MOOSE RIVER AT VICTORY, VT"	"CONUS"	"true"	"true"
"01135300"	"STJV1"	"USGS"	"SLEEPERS RIVER (SITE W-5) NEAR ST. JOHNSBURY, VT"	"CONUS"	"true"	"true"
"01135500"	"PASV1"	"USGS"	"PASSUMPSIC RIVER AT PASSUMPSIC, VT"	"CONUS"	"true"	"true"
"01137500"	"BETN3"	"USGS"	"AMMONOOSUC RIVER AT BETHLEHEM JUNCTION, NH"	"CONUS"	"true"	"true"
"01139000"	"WLRV1"	"USGS"	"WELLS RIVER AT WELLS RIVER, VT"	"CONUS"	"true"	"true"
"01142500"	"RANV1"	"USGS"	"AYERS BROOK AT RANDOLPH, VT"	"CONUS"	"true"	"true"
"01144000"	"WEHV1"	"USGS"	"WHITE RIVER AT WEST HARTFORD, VT"	"CONUS"	"true"	"true"
"01152500"	"WCLN3"	"USGS"	"SUGAR RIVER AT WEST CLAREMONT, NH"	"CONUS"	"true"	"true"
"01162500"	"WINM3"	"USGS"	"PRIEST BROOK NEAR WINCHENDON, MA"	"CONUS"	"true"	"true"
"01169000"	"SHVM3"	"USGS"	"NORTH RIVER AT SHATTUCKVILLE, MA"	"CONUS"	"true"	"true"
"01170100"	"CRNM3"	"USGS"	"GREEN RIVER NEAR COLRAIN, MA"	"CONUS"	"true"	"true"
"01171500"	"NMIM3"	"USGS"	"MILL RIVER AT NORTHAMPTON, MA"	"CONUS"	"true"	"true"
"01174565"	"SHUM3"	"USGS"	"WEST BRANCH SWIFT RIVER NEAR SHUTESBURY, MA"	"CONUS"	"true"	"true"
"01154000"	"SAXV1"	"USGS"	"SAXTONS RIVER AT SAXTONS RIVER, VT"	"CONUS"	"true"	"true"
"01181000"	"HNTM3"	"USGS"	"WEST BRANCH WESTFIELD RIVER AT HUNTINGTON, MA"	"CONUS"	"true"	"true"
"01187300"	"WHTC3"	"USGS"	"HUBBARD RIVER NEAR WEST HARTLAND, CT"	"CONUS"	"true"	"true"
"01193500"	"EHMC3"	"USGS"	"SALMON RIVER NEAR EAST HAMPTON, CT"	"CONUS"	"true"	"true"
"01194000"		"USGS"	"EIGHTMILE RIVER AT NORTH PLAIN, CT"	"CONUS"	"true"	"true"
"01194500"		"USGS"	"EAST BRANCH EIGHTMILE RIVER NEAR NORTH LYME, CT"	"CONUS"	"true"	"true"
"01201487"	"BKFC3"	"USGS"	"STILL RIVER AT ROUTE 7 AT BROOKFIELD CENTER, CT"	"CONUS"	"true"	"true"
"012035055"		"USGS"	"POOTATUCK RIVER AT BERKSHIRE"	"CONUS"	"true"	"true"
"01203805"	"HKVC3"	"USGS"	"WEEKEEPEEMEE RIVER AT HOTCHKISSVILLE, CT"	"CONUS"	"true"	"true"
"01208990"		"USGS"	"SAUGATUCK RIVER NEAR REDDING, CT"	"CONUS"	"true"	"true"
"01198000"	"GBGM3"	"USGS"	"GREEN RIVER NEAR GREAT BARRINGTON, MA"	"CONUS"	"true"	"true"
"01200000"	"TENN6"	"USGS"	"TENMILE RIVER NEAR GAYLORDSVILLE, CT"	"CONUS"	"true"	"true"
"01321000"	"HOPN6"	"USGS"	"SACANDAGA RIVER NEAR HOPE NY"	"CONUS"	"true"	"true"
"01330000"	"GLWN6"	"USGS"	"GLOWEGEE CREEK AT WEST MILTON NY"	"CONUS"	"true"	"true"
"01332500"	"WILM3"	"USGS"	"HOOSIC RIVER NEAR WILLIAMSTOWN, MA"	"CONUS"	"true"	"true"
"01333000"	"GRWM3"	"USGS"	"GREEN RIVER AT WILLIAMSTOWN, MA"	"CONUS"	"true"	"true"
"01343060"	"WMRN6"	"USGS"	"WEST CANADA CREEK NEAR WILMURT NY"	"CONUS"	"true"	"true"
"01350000"	"PTVN6"	"USGS"	"SCHOHARIE CREEK AT PRATTSVILLE NY"	"CONUS"	"true"	"true"
"01350035"	"BEAN6"	"USGS"	"BEAR KILL NEAR PRATTSVILLE NY"	"CONUS"	"true"	"true"
"01350080"	"MNRN6"	"USGS"	"MANOR KILL AT WEST CONESVILLE NEAR GILBOA NY"	"CONUS"	"true"	"true"
"01362200"	"ALAN6"	"USGS"	"ESOPUS CREEK AT ALLABEN NY"	"CONUS"	"true"	"true"
"CHC"		"CADWR"	""	"CONUS"	"true"	"true"
"01362497"	"BCFN6"	"USGS"	"LITTLE BEAVER KILL AT BEECHFORD NEAR MT TREMPER NY"	"CONUS"	"true"	"true"
"01363382"	"BKWN6"	"USGS"	"BUSH KILL BLW MALTBY HOLLOW BK AT WEST SHOKAN NY"	"CONUS"	"true"	"true"
"01365000"	"LWSN6"	"USGS"	"RONDOUT CREEK NEAR LOWES CORNERS NY"	"CONUS"	"true"	"true"
"01367500"	"ROSN6"	"USGS"	"RONDOUT CREEK AT ROSENDALE NY"	"CONUS"	"true"	"true"
"0136230002"	"WDLN6"	"USGS"	"WOODLAND CREEK ABOVE MOUTH AT PHOENICIA NY"	"CONUS"	"true"	"true"
"0137449480"	"PUTN6"	"USGS"	"EAST BRANCH CROTON RIVER NEAR PUTNAM LAKE NY"	"CONUS"	"true"	"true"
"01374559"	"RVLN6"	"USGS"	"WEST BRANCH CROTON RIVER AT RICHARDSVILLE NY"	"CONUS"	"true"	"true"
"0137462010"	"WBCN6"	"USGS"	"WEST BRANCH CROTON RIVER NEAR CARMEL NY"	"CONUS"	"true"	"true"
"01374781"	"SLCN6"	"USGS"	"TITICUS RIVER BELOW JUNE ROAD AT SALEM CENTER NY"	"CONUS"	"true"	"true"
"01374890"	"XRVN6"	"USGS"	"CROSS RIVER NEAR CROSS RIVER NY"	"CONUS"	"true"	"true"
"01381400"	"WHPN4"	"USGS"	"Whippany River near Morristown NJ"	"CONUS"	"true"	"true"
"01384500"	"RWCN4"	"USGS"	"Ringwood Creek near Wanaque NJ"	"CONUS"	"true"	"true"
"01387450"	"SUFN6"	"USGS"	"Mahwah River near Suffern NY"	"CONUS"	"true"	"true"
"01387500"	"MAWN4"	"USGS"	"Ramapo River near Mahwah NJ"	"CONUS"	"true"	"true"
"01390450"	"SADN4"	"USGS"	"Saddle River at Upper Saddle River NJ"	"CONUS"	"true"	"true"
"01391500"	"LODN4"	"USGS"	"Saddle River at Lodi NJ"	"CONUS"	"true"	"true"
"01397000"	"STTN4"	"USGS"	"South Branch Raritan River at Stanton NJ"	"CONUS"	"true"	"true"
"01400000"	"RRTN4"	"USGS"	"North Branch Raritan River near Raritan NJ"	"CONUS"	"true"	"true"
"SMW"		"CADWR"	""	"CONUS"	"true"	"true"
"01409810"	"JENN4"	"USGS"	"West Branch Wading River near Jenkins NJ"	"CONUS"	"true"	"true"
"01411300"	"TUKN4"	"USGS"	"Tuckahoe River at Head of River NJ"	"CONUS"	"true"	"true"
"01403900"	"MDSN4"	"USGS"	"Bound Brook at Middlesex NJ"	"CONUS"	"true"	"true"
"01413408"	"DRYN6"	"USGS"	"DRY BROOK AT ARKVILLE"	"CONUS"	"true"	"true"
"01413500"	"MRGN6"	"USGS"	"EAST BRANCH DELAWARE RIVER AT MARGARETVILLE NY"	"CONUS"	"true"	"true"
"01414000"	"PLTN6"	"USGS"	"PLATTE KILL AT DUNRAVEN NY"	"CONUS"	"true"	"true"
"01414500"	"DUNN6"	"USGS"	"MILL BROOK NEAR DUNRAVEN NY"	"CONUS"	"true"	"true"
"01415000"	"TPKN6"	"USGS"	"TREMPER KILL NEAR ANDES NY"	"CONUS"	"true"	"true"
"01421618"	"HTBN6"	"USGS"	"TOWN BROOK SOUTHEAST OF HOBART NY"	"CONUS"	"true"	"true"
"01421900"	"DELN6"	"USGS"	"WEST BRANCH DELAWARE RIVER UPSTREAM FROM DELHI NY"	"CONUS"	"true"	"true"
"01422500"	"LDWN6"	"USGS"	"LITTLE DELAWARE RIVER NEAR DELHI NY"	"CONUS"	"true"	"true"
"01423000"	"WALN6"	"USGS"	"WEST BRANCH DELAWARE RIVER AT WALTON NY"	"CONUS"	"true"	"true"
"0142400103"	"TRCN6"	"USGS"	"TROUT CREEK NEAR TROUT CREEK NY"	"CONUS"	"true"	"true"
"01434017"	"EBNN6"	"USGS"	"EAST BRANCH NEVERSINK RIVER NEAR CLARYVILLE NY"	"CONUS"	"true"	"true"
"01434498"	"NVWN6"	"USGS"	"WEST BRANCH NEVERSINK RIVER AT CLARYVILLE NY"	"CONUS"	"true"	"true"
"MCD"		"CADWR"	""	"CONUS"	"true"	"true"
"01439500"	"SHOP1"	"USGS"	"Bush Kill at Shoemakers, PA"	"CONUS"	"true"	"true"
"01440000"	"FLAN4"	"USGS"	"Flat Brook near Flatbrookville NJ"	"CONUS"	"true"	"true"
"01440400"	"ALKP1"	"USGS"	"Brodhead Creek near Analomink, PA"	"CONUS"	"true"	"true"
"01447720"	"TBYP1"	"USGS"	"Tobyhanna Creek near Blakeslee, PA"	"CONUS"	"true"	"true"
"MCK"		"CADWR"	""	"CONUS"	"true"	"true"
"01451800"	"SNVP1"	"USGS"	"Jordan Creek near Schnecksville, PA"	"CONUS"	"true"	"true"
"01464000"	"TACN4"	"USGS"	"Assunpink Creek at Trenton NJ"	"CONUS"	"true"	"true"
"01465500"	"LNGP1"	"USGS"	"Neshaminy Creek near Langhorne, PA"	"CONUS"	"true"	"true"
"LCV"		"CADWR"	""	"CONUS"	"true"	"true"
"01470500"	"BREP1"	"USGS"	"Schuylkill River at Berne, PA"	"CONUS"	"true"	"true"
"01471875"	"SPGP1"	"USGS"	"Manatawny Creek near Spangsville, PA"	"CONUS"	"true"	"true"
"01473000"	"GRAP1"	"USGS"	"Perkiomen Creek at Graterford, PA"	"CONUS"	"true"	"true"
"01467042"		"USGS"	"Pennypack Creek at Pine Road, at Philadelphia, PA"	"CONUS"	"true"	"true"
"01478245"	"SKVP1"	"USGS"	"White Clay Creek near Strickersville, PA"	"CONUS"	"true"	"true"
"01481000"	"CDFP1"	"USGS"	"Brandywine Creek at Chadds Ford, PA"	"CONUS"	"true"	"true"
"CMF"		"CADWR"	""	"CONUS"	"true"	"true"
"01485000"	"WLRM2"	"USGS"	"POCOMOKE RIVER NEAR WILLARDS, MD"	"CONUS"	"true"	"true"
"01485500"	"NSWM2"	"USGS"	"NASSAWANGO CREEK NEAR SNOW HILL, MD"	"CONUS"	"true"	"true"
"01487000"	"BGLD1"	"USGS"	"NANTICOKE RIVER NEAR BRIDGEVILLE, DE"	"CONUS"	"true"	"true"
"01491000"	"GNBM2"	"USGS"	"CHOPTANK RIVER NEAR GREENSBORO, MD"	"CONUS"	"true"	"true"
"01492500"		"USGS"	"SALLIE HARRIS CREEK NEAR CARMICHAEL, MD"	"CONUS"	"true"	"true"
"RBW"		"CADWR"	""	"CONUS"	"true"	"true"
"01505000"	"SHBN6"	"USGS"	"CHENANGO RIVER AT SHERBURNE NY"	"CONUS"	"true"	"true"
"01509000"	"CRTN6"	"USGS"	"TIOUGHNIOGA RIVER AT CORTLAND NY"	"CONUS"	"false"	"true"
"01510000"	"CINN6"	"USGS"	"OTSELIC RIVER AT CINCINNATUS NY"	"CONUS"	"true"	"true"
"01516500"	"MBGP1"	"USGS"	"Corey Creek near Mainesburg, PA"	"CONUS"	"true"	"true"
"01518862"	"WFDP1"	"USGS"	"Cowanesque River at Westfield, PA"	"CONUS"	"true"	"true"
"PDR"		"CADWR"	""	"CONUS"	"true"	"true"
"01493500"	"KENM2"	"USGS"	"MORGAN CREEK NEAR KENNEDYVILLE, MD"	"CONUS"	"true"	"true"
"01532000"	"MONP1"	"USGS"	"Towanda Creek near Monroeton, PA"	"CONUS"	"true"	"true"
"DCM"		"CADWR"	""	"CONUS"	"true"	"true"
"01525981"	"ADNN6"	"USGS"	"TUSCARORA CREEK ABOVE SOUTH ADDISON NY"	"CONUS"	"true"	"true"
"01527500"	"AVCN6"	"USGS"	"COHOCTON RIVER AT AVOCA NY"	"CONUS"	"true"	"true"
"01555000"	"PNCP1"	"USGS"	"Penns Creek at Penns Creek, PA"	"CONUS"	"true"	"true"
"CNF"		"CADWR"	""	"CONUS"	"true"	"true"
"01564500"	"AUGP1"	"USGS"	"Aughwick Creek near Three Springs, PA"	"CONUS"	"true"	"true"
"01566000"	"PORP1"	"USGS"	"Tuscarora Creek near Port Royal, PA"	"CONUS"	"true"	"true"
"01567500"	"LYVP1"	"USGS"	"Bixler Run near Loysville, PA"	"CONUS"	"true"	"true"
"01568000"	"SMDP1"	"USGS"	"Sherman Creek at Shermans Dale, PA"	"CONUS"	"true"	"true"
